,Unnamed: 0,rad_asec,original_ampl_linear_norm,mu_c,mu_c_minus_tau,corrxn_factor,FPF_tau,TPF,tau,ppf_1st,ppf_2nd,N_FWHM_fit,F,rad_fwhm,FPF_mu_c,TPF_mu_c_minus_tau,del_m_classical,del_m_modern
0,0,0.20817919999999998,0.0004434999999999999,8.164180460356093,1.8124611228107335,1.7054416768057181,4.1666666666666665e-05,0.95,6.351719337545359,6.351719337545359,1.8124611228107335,12.0,0.0007563633836633358,2.0,4.925612639872234e-06,0.949999999999923,8.382765939580638,7.803173759912145
1,1,0.3122688,0.0002740000000000001,7.176133219669461,1.74588367627624,1.476836032760963,2.777777777777778e-05,0.95,5.430249543393222,5.430249543393222,1.74588367627624,18.0,0.00040465307297650406,3.0,1.1022506849478475e-06,0.9499999999999992,8.90562359294903,8.482292892956336
2,2,0.41635839999999996,0.00020950000000000005,6.775894895341699,1.7138715277470473,1.3831237536930325,2e-05,0.95,5.0620233675946515,5.0620233675946515,1.7138715277470473,25.0,0.00028976442639869036,4.0,3.270392195942051e-07,0.9499999999999998,9.197039931744214,8.844887331902045
3,3,0.5204479999999999,0.000199,6.612652132696048,1.6991270265334972,1.3443919146189167,1.6129032258064517e-05,0.95,4.913525106162551,4.913525106162551,1.6991270265334972,31.0,0.00026753399100916446,4.999999999999999,1.5057106106386442e-07,0.95,9.252867308975732,8.931552579248104
4,4,0.7286271999999999,0.00010700000000000001,6.455229158732576,1.6828780004112913,1.306325012481053,1.1627906976744187e-05,0.95,4.7723511583212845,4.7723511583212845,1.6828780004112913,43.0,0.0001397767763354727,6.999999999999999,4.871054148924969e-08,0.9499999998321289,9.926540555786975,9.636412449644395
5,5,0.9368064,0.00011499999999999999,6.381513885153414,1.6735649059209428,1.2878532638376372,8.92857142857143e-06,0.95,4.707948979232471,4.707948979232471,1.6735649059209428,56.0,0.00014810312534132826,9.000000000000002,2.072520144391632e-08,0.949999999957374,9.84825539911597,9.573589441742701
6,6,1.2490752,0.00014399999999999992,6.336994787595592,1.665996223676495,1.2759337270663473,6.666666666666667e-06,0.95,4.670998563919097,4.670998563919097,1.665996223676495,75.0,0.00018373445669755392,12.0,8.601867884650005e-09,0.9499999999905109,9.604093769761876,9.339523476269335
7,7,1.561344,0.000185,6.321736113987508,1.6615853968734788,1.2711266130721304,5.319148936170213e-06,0.95,4.660150717114029,4.660150717114029,1.6615853968734788,94.0,0.0002351584234183441,15.000000000000002,4.57508930740147e-09,0.9499999999970065,9.332070678992466,9.071598650325953
8,8,1.9777024,0.000169,6.319015835007853,1.6579816587044385,1.2691469674410927,4.201680672268908e-06,0.95,4.661034176303415,4.661034176303415,1.6579816587044385,119.0,0.00021448583749754464,19.000000000000004,2.4720591129678837e-09,0.9499999999990979,9.430283238465817,9.17150344750615
