,del_mag_widthFWHM,radius_pix,asec,contrast_lin
0,5.183016356863335,4.86244,0.052028108,0.008448769411250005
1,6.262331964589876,14.587320000000002,0.15608432400000002,0.003126563216402528
2,8.396717906827273,24.3122,0.26014054,0.0004378373809338739
3,8.89697508368901,34.03708,0.364196756,0.0002761912823851566
4,9.396096967614927,43.76196,0.468252972,0.00017440591618551735
5,9.553746082995996,53.48684,0.572309188,0.0001508348052188901
6,9.906678051898183,63.21172000000001,0.676365404,0.00010897547714622927
7,9.857843621909613,72.93660000000001,0.7804216200000001,0.00011398889698855486
8,10.06248580192651,82.66148000000001,0.8844778360000001,9.440732217647633e-05
9,10.123935684869995,92.38636000000001,0.9885340520000001,8.921250334566875e-05
10,10.117927773554358,102.11124000000001,1.0925902680000001,8.970752825822601e-05
11,10.057745798865373,111.83612000000001,1.196646484,9.482037759807088e-05
12,9.757426080405974,121.56100000000002,1.3007027000000002,0.00012503441538284582
13,9.746999140845606,131.28588000000002,1.4047589160000002,0.00012624097604246764
14,9.750501208587004,141.01076,1.508815132,0.00012583443879637433
15,9.849838073095405,150.73564,1.6128713479999999,0.00011483248701166193
16,9.892353527184104,160.46052,1.716927564,0.00011042275772754906
17,9.882156840446894,170.18540000000002,1.8209837800000002,0.00011146467749988206
18,9.787042693779835,179.91028,1.925039996,0.00012166983595091924
